salt,molar_mass,K_molar,Ca_molar,Mg_molar,NO3_molar,PO4_molar,SO4_molar,K_mix-1,Ca_mix-1,Mg_mix-1,NO3_mix-1,PO4_mix-1,SO4_mix-1,K_mix-2,Ca_mix-2,Mg_mix-2,NO3_mix-2,PO4_mix-2,SO4_mix-2
MnSO4_constppm,151.001,0,0,1,0,0,1,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132,0.00000132
ZnCl2_constppm,136.315,0,0,0,0,0,0,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147,0.00000147
Na2B4O7_constppm,201.22,0,0,0,0,0,0,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994,0.000000994
FeSO4_constppm,151.91,0,0,0,0,0,1,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132,0.000000132
Ca(NO3)2,164.088,0,1,0,2,0,0,0,0.0012,0,0.0012,0,0,0,0.0016,0,0.0012,0,0
Ca(H2PO4)2,234.05,0,1,0,0,2,0,0,0.00045,0,0,0.00045,0,0,0.0012,0,0,0.0012,0
CaSO4,136.14,0,1,0,0,0,1,0,0.0009,0,0,0,0.0009,0,0.0009,0,0,0,0.0012
Mg(NO3)2,148.32,0,0,1,2,0,0,0,0,0.0012,0.0012,0,0,0,0,0.0016,0.0009,0,0
MgHPO4,120.28,0,0,1,0,1,0,0,0,0.0009,0,0.0009,0,0,0,0.0004,0,0.0009,0
MgSO4,120.366,0,0,1,0,0,1,0,0,0.0009,0,0,0.0009,0,0,0.0009,0,0,0.0009
KNO3,101.1032,1,0,0,1,0,0,0.0024,0,0,0.0024,0,0,0.0032,0,0,0.0009,0,0
KH2PO4,136.086,1,0,0,0,1,0,0.0009,0,0,0,0.0009,0,0.0004,0,0,0,0.0009,0
K2SO4,174.259,1,0,0,0,0,1,0.0009,0,0,0,0,0.0009,0.0009,0,0,0,0,0.0009
